ride_id,user_id,vehicle_id,start_station_id,end_station_id,is_degraded_report,start_time,end_time
RIDE001,USER001,V000001,1,5,0,2025-03-19 08:00:00,2025-03-19 08:15:00
RIDE002,USER002,V000002,1,3,0,2025-03-19 08:30:00,2025-03-19 08:45:00
RIDE003,USER003,V000003,2,7,0,2025-03-19 09:00:00,2025-03-19 09:20:00
RIDE004,USER004,V000004,3,6,0,2025-03-19 09:15:00,2025-03-19 09:35:00
RIDE005,USER005,V000005,4,8,0,2025-03-19 09:45:00,2025-03-19 10:05:00
RIDE006,USER006,V000006,5,10,1,2025-03-19 10:00:00,2025-03-19 10:10:00
RIDE007,USER007,V000007,2,4,0,2025-03-19 10:30:00,2025-03-19 10:50:00
RIDE008,USER008,V000008,1,9,0,2025-03-19 11:00:00,2025-03-19 11:25:00
RIDE009,USER009,V000009,3,5,0,2025-03-19 11:30:00,2025-03-19 11:45:00
RIDE010,USER010,V000010,6,12,0,2025-03-19 12:00:00,2025-03-19 12:20:00
RIDE011,USER001,V000011,7,2,0,2025-03-19 12:30:00,2025-03-19 12:50:00
RIDE012,USER002,V000012,1,8,0,2025-03-19 13:00:00,2025-03-19 13:18:00
RIDE013,USER003,V000013,4,11,1,2025-03-19 13:30:00,2025-03-19 13:40:00
RIDE014,USER004,V000014,5,3,0,2025-03-19 14:00:00,2025-03-19 14:22:00
RIDE015,USER005,V000015,2,6,0,2025-03-19 14:30:00,2025-03-19 14:48:00
RIDE016,USER006,V000016,1,7,0,2025-03-19 15:00:00,2025-03-19 15:15:00
RIDE017,USER007,V000017,3,9,0,2025-03-19 15:30:00,2025-03-19 15:45:00
RIDE018,USER008,V000018,6,4,0,2025-03-19 16:00:00,2025-03-19 16:18:00
RIDE019,USER009,V000019,2,10,1,2025-03-19 16:30:00,2025-03-19 16:40:00
RIDE020,USER010,V000020,5,1,0,2025-03-19 17:00:00,2025-03-19 17:25:00
RIDE021,USER001,V000021,1,4,0,2025-03-18 08:00:00,2025-03-18 08:20:00
RIDE022,USER002,V000022,3,6,0,2025-03-18 08:30:00,2025-03-18 08:50:00
RIDE023,USER003,V000023,2,8,0,2025-03-18 09:00:00,2025-03-18 09:15:00
RIDE024,USER004,V000024,4,1,0,2025-03-18 09:30:00,2025-03-18 09:50:00
RIDE025,USER005,V000025,5,7,0,2025-03-18 10:00:00,2025-03-18 10:18:00
