vehicle_id,station_id,vehicle_type,status,rides_since_last_treated,last_treated_date
V000001,1,scooter,available,3,2025-01-16
V000002,1,electric_bicycle,available,0,2025-03-28
V000003,1,electric_bicycle,available,3,2025-02-19
V000004,1,electric_bicycle,available,1,2025-03-01
V000005,1,electric_bicycle,available,6,2025-02-26
V000006,1,electric_bicycle,available,8,2025-03-08
V000007,1,scooter,available,3,2025-02-14
V000008,1,electric_bicycle,available,0,2025-01-14
V000009,1,scooter,available,2,2025-01-17
V000010,1,bicycle,degraded,0,2025-02-27
V000011,1,scooter,available,2,2025-03-10
V000012,1,bicycle,available,2,2025-02-27
V000013,1,scooter,available,3,2025-02-12
V000014,1,scooter,degraded,8,2025-04-01
V000015,2,bicycle,degraded,0,2025-01-28
V000016,2,electric_bicycle,degraded,8,2025-01-31
V000017,2,bicycle,available,3,2025-01-06
V000018,2,scooter,available,8,2025-03-27
V000019,2,bicycle,available,1,2025-03-31
V000020,2,electric_bicycle,degraded,8,2025-02-25
V000021,2,electric_bicycle,available,10,2025-01-17
V000022,2,bicycle,degraded,7,2025-03-16
V000023,2,scooter,available,7,2025-01-06
V000024,2,scooter,degraded,7,2025-01-20
V000025,3,electric_bicycle,degraded,9,2025-03-22
V000026,3,scooter,degraded,9,2025-01-22
V000027,3,scooter,available,8,2025-02-24
V000028,3,bicycle,available,4,2025-01-01
V000029,3,electric_bicycle,available,6,2025-02-26
V000030,3,electric_bicycle,available,9,2025-02-01
V000031,3,electric_bicycle,available,10,2025-03-31
V000032,3,scooter,degraded,7,2025-01-08
V000033,3,electric_bicycle,degraded,8,2025-01-19
V000034,3,bicycle,available,0,2025-02-24
V000035,3,bicycle,available,8,2025-03-17
V000036,3,electric_bicycle,available,4,2025-03-30
V000037,3,bicycle,available,9,2025-01-28
V000038,3,electric_bicycle,available,5,2025-02-03
V000039,3,electric_bicycle,available,2,2025-03-22
V000040,3,electric_bicycle,available,4,2025-03-30
V000041,3,scooter,available,1,2025-01-02
V000042,3,scooter,available,2,2025-02-09
V000043,4,electric_bicycle,available,5,2025-01-21
V000044,4,bicycle,degraded,8,2025-02-26
V000045,4,scooter,available,7,2025-01-09
V000046,4,electric_bicycle,available,3,2025-01-31
V000047,4,scooter,available,1,2025-02-19
V000048,4,bicycle,available,0,2025-03-30
V000049,4,electric_bicycle,available,6,2025-02-20
V000050,4,electric_bicycle,available,5,2025-03-10
V000051,4,electric_bicycle,available,6,2025-01-12
V000052,4,scooter,available,0,2025-01-03
V000053,4,scooter,available,2,2025-02-15
V000054,4,scooter,available,1,2025-02-02
V000055,4,bicycle,available,6,2025-03-15
V000056,4,scooter,available,4,2025-01-13
V000057,4,scooter,available,3,2025-03-10
V000058,4,electric_bicycle,available,5,2025-01-28
V000059,4,bicycle,available,0,2025-02-10
V000060,4,bicycle,degraded,8,2025-01-12
V000061,4,bicycle,available,3,2025-02-05
V000062,4,electric_bicycle,available,1,2025-03-26
V000063,4,electric_bicycle,available,0,2025-03-23
V000064,4,electric_bicycle,available,2,2025-03-05
V000065,4,electric_bicycle,available,3,2025-02-19
V000066,4,bicycle,degraded,8,2025-01-29
V000067,4,bicycle,available,9,2025-01-09
V000068,5,scooter,available,1,2025-02-02
V000069,5,bicycle,available,4,2025-02-20
V000070,5,electric_bicycle,available,7,2025-02-03
V000071,5,scooter,available,9,2025-02-14
V000072,5,electric_bicycle,degraded,9,2025-01-25
V000073,5,scooter,available,4,2025-03-28
V000074,5,electric_bicycle,available,3,2025-02-07
V000075,5,bicycle,available,6,2025-01-12
V000076,5,scooter,available,3,2025-01-26
V000077,5,bicycle,degraded,10,2025-01-19
V000078,5,electric_bicycle,degraded,9,2025-03-14
